source_code,category_code,query_slug,record_kind,title,description_raw,buyer_country_raw,buyer_country_code,buyer_identity_claim_raw,published_at_raw,published_at,contact_gate,source_url,listing_url,verification_status,observed_at,snapshot_sha256,data_mode
ec21,BLUEBERRY,blueberry,REJECTED_SELLER_OR_UNCLEAR,"Buy Goodis, My Body N Collagen Blueberry",Dear Sir/Madam We would appreciate if you could kindly submit us a quotation based on minimum and maximum supply of the above item urgently. We have ready market for the above product. Terms : F O B Thank you Shakila Sidik 60172763423 Malaysia,Malaysia,,,"15 Feb, 2014",2014-02-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Goodis_My_Body_N--23499126.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Dried BLueberry,"Hi, I am looking for dried blueberry that doesn't need to be transported in refrigerated container. If you have this prodct, please, send email to ammfergie----hotmail.com thank you!",United States,US,,"4 Mar, 2014",2014-03-04,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Dried_strong_BLueberry_strong--23512834.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,"Buy Baby Multigrain Cereal with Goat Milk Formula, Blueberry",we are looking for Baby multigrain cereal with goat milk formula and organic flavered with blueberry and other fruit.,China,,,"15 Dec, 2014",2014-12-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Baby_Multigrain_Cereal_with--23728753.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy IQF Blueberry,"Dear Sir, Have a nice day! This is Liaoning Runduo Biotechnology Co., Ltd., we are interested in importing IQF blueberry ! We need a big quantity and good quality products for China market, please contact me if you can offer! Looking forward to your reply! Best regards! Lilly Liaoning Runduo Biotechnology Co., Ltd.",China,,,"24 Jul, 2015",2015-07-24,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_IQF_strong_Blueberry_strong--23839974.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy IQF Blueberry,"Dear Sir, Have a nice day! This is Liaoning Runduo Biotechnology Co., Ltd., we are interested in importing IQF blueberry ! We need a big quantity and good quality products for China market, please contact me if you can offer! Looking forward to your reply! Best regards! Lilly Liaoning Runduo Biotechnology Co., Ltd.",China,,,"20 Jul, 2015",2015-07-20,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_IQF_strong_Blueberry_strong--23837164.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Frozen Blueberry,"Dear supplier, We need IQF blueberry from Canada. Welcome Canada supplier to send quotation to us. Thank you!",China,,,"9 Apr, 2015",2015-04-09,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Frozen_strong_Blueberry_strong--23784892.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy IQF Blueberry,We are looking for supplyers for IQF Blueberry Grade A The quatity: One 40' GP If you supply those pls feel free to contact me We'd like you to Quote CIF Dalian price and pls send me picture and Spec. sheet of you blueberry,China,,,"15 Sep, 2015",2015-09-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_IQF_strong_Blueberry_strong--23866885.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,We Buy BLUEBERRIES,VALGES WWW VALGES COM SPANISH BUSINESS GROUP WE ARE IMPORTERS BLUEBERRI ES STRASBERRIES BERRIES.- ANY KIND ORGANIC FRUIT PULP,Spain,,,"25 Dec, 2022",2022-12-25,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_strong_BLUEBERRI_strong--24384103.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,We Buy Frozen Fruits,"Hello We are looking for frozen mixed berries : -ratio : Mixed ratio 15% raspberry, 25% blueberry , 35% strawberry, 25% blackberry -packaging : plastic transparent bags -weight : 500G per bag -Quality : Grade A , EU standard -Terms : FOB -Quantity : 24 Tons -Destintation port : Le havre port ,france -Target price : 1.6$/KG , 0.8$/500G Note : the supplier who can accept those prices would win a lif",Tunisia,,,"11 Sep, 2025",2025-09-11,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Frozen_Fruits--24450604.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,We Buy Berries,We need Strawberry Blueberry Blackberry Raspberry Currants Wats app only. 0027652722358 Direct suppliers,South Africa,,,"16 Aug, 2025",2025-08-16,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Berries--24449893.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
